Pasajeros_por_dia,Viajes_por_dia,Tipo_de_Taxi,DiaSemana,avg_temperature
97692,64714,green,Sábado,9.766666666666667
87866,59921,green,Domingo,10.424999999999999
102660,74737,green,Lunes,0.7708333333333334
103558,76727,green,Martes,-2.920833333333333
102768,76851,green,Miércoles,0.7124999999999999
110396,82261,green,Jueves,1.5250000000000001
100309,73422,green,Viernes,-0.7625000000000001
122052,85104,green,Sábado,-6.3999999999999995
92651,65426,green,Domingo,-2.4916666666666667
99414,75837,green,Lunes,-0.1375
103860,79860,green,Martes,-6.6375
107765,82499,green,Miércoles,-3.2416666666666667
115045,87226,green,Jueves,0.5958333333333333
130026,96274,green,Viernes,1.9083333333333332
127449,90614,green,Sábado,-6.945833333333333
104068,74396,green,Domingo,-6.720833333333334
87987,65066,green,Lunes,3.579166666666666
112959,86794,green,Martes,-0.5541666666666666
115933,88999,green,Miércoles,0.4166666666666666
121018,93129,green,Jueves,1.3791666666666667
137116,103592,green,Viernes,-7.045833333333333
138380,98559,green,Sábado,-6.7
108579,78542,green,Domingo,-3.5041666666666664
104263,80810,green,Lunes,-1.8958333333333333
116793,89628,green,Martes,1.2833333333333334
128295,99119,green,Miércoles,-4.1375
132482,102334,green,Jueves,-5.504166666666666
129298,98319,green,Viernes,-2.0375
43278,34773,green,Sábado,-6.083333333333333
97543,72690,green,Domingo,-11.525
113309,88188,green,Lunes,-10.8375
122429,94759,green,Martes,-8.612499999999999
121969,95112,green,Miércoles,-0.49583333333333335
136993,107245,green,Jueves,2.7708333333333335
148437,113111,green,Viernes,5.458333333333333
164625,119702,green,Sábado,-2.8083333333333336
124279,89888,green,Domingo,-5.2124999999999995
117934,91266,green,Lunes,-0.6833333333333332
135793,105208,green,Martes,2.5833333333333335
140176,108598,green,Miércoles,0.4708333333333334
149723,115441,green,Jueves,3.15
161301,120539,green,Viernes,3.7624999999999997
172175,122196,green,Sábado,9.229166666666666
129458,94786,green,Domingo,1.3833333333333335
148613,113318,green,Lunes,-4.895833333333333
145596,113034,green,Martes,-5.545833333333333
147297,112893,green,Miércoles,-0.8333333333333334
151445,116013,green,Jueves,8.666666666666666
160180,119198,green,Viernes,8.783333333333333
167673,116732,green,Sábado,-0.6791666666666667
139296,97219,green,Domingo,-3.1125000000000003
123184,87890,green,Lunes,2.3125
138719,103849,green,Martes,5.883333333333333
152705,114955,green,Miércoles,13.816666666666668
162703,122622,green,Jueves,1.1208333333333333
164295,120826,green,Viernes,1.5708333333333335
176928,125481,green,Sábado,-2.120833333333333
143632,102158,green,Domingo,0.42500000000000004
137135,104779,green,Lunes,-0.6
152342,116548,green,Martes,0.6583333333333333
159126,122457,green,Miércoles,4.7
173116,132086,green,Jueves,3.3166666666666664
174692,131255,green,Viernes,-2.091666666666667
173417,122653,green,Sábado,0.9416666666666668
136782,97730,green,Domingo,9.4125
133261,102152,green,Lunes,16.05
156938,119844,green,Martes,7.583333333333333
158228,122769,green,Miércoles,2.4291666666666667
166642,127622,green,Jueves,2.9875000000000003
176872,132341,green,Viernes,4.983333333333333
175086,124032,green,Sábado,2.6625
142532,102171,green,Domingo,-3.4166666666666665
134112,101042,green,Lunes,1.6125
151638,115030,green,Martes,8.404166666666667
162463,122297,green,Miércoles,10.008333333333333
159232,119381,green,Jueves,7.941666666666666
178244,131011,green,Viernes,12.245833333333332
175202,123021,green,Sábado,13.3125
141548,102212,green,Domingo,12.1
136890,102897,green,Lunes,9.612499999999999
151524,115818,green,Martes,8.424999999999999
164580,124864,green,Miércoles,4.845833333333333
167058,127196,green,Jueves,6.4750000000000005
173038,126935,green,Viernes,9.070833333333333
185415,129833,green,Sábado,8.1625
152711,109367,green,Domingo,4.866666666666666
150012,114881,green,Lunes,-1.175
164412,126630,green,Martes,-1.4375
168179,129120,green,Miércoles,0.9333333333333335
171691,131212,green,Jueves,10.720833333333333
184895,138417,green,Viernes,11.895833333333334
182842,130362,green,Sábado,6.0874999999999995
148886,106464,green,Domingo,5.870833333333334
147727,112180,green,Lunes,6.4750000000000005
163357,124638,green,Martes,7.191666666666666
165747,127355,green,Miércoles,8.05
172035,131985,green,Jueves,8.279166666666667
180157,133535,green,Viernes,11.870833333333332
186560,131093,green,Sábado,9.120833333333334
159530,111893,green,Domingo,7.25
149058,109881,green,Lunes,7.508333333333333
159025,120595,green,Martes,11.983333333333334
167255,124842,green,Miércoles,13.75
176697,130925,green,Jueves,19.958333333333332
176645,124358,green,Viernes,14.125
172703,117613,green,Sábado,14.579166666666666
145258,98445,green,Domingo,7.991666666666667
144066,105696,green,Lunes,5.916666666666667
163638,121186,green,Martes,7.408333333333334
167939,124162,green,Miércoles,7.891666666666667
178148,129996,green,Jueves,9.5375
183604,130838,green,Viernes,13.183333333333332
181264,127142,green,Sábado,10.833333333333334
149153,106126,green,Domingo,11.116666666666667
143918,109102,green,Lunes,9.9375
159050,122566,green,Martes,12.799999999999999
169765,130379,green,Miércoles,10.904166666666667
171324,131900,green,Jueves,7.270833333333333
174860,131848,green,Viernes,8.454166666666667
182743,130499,green,Sábado,10.5375
139114,102407,green,Domingo,11.704166666666666
123991,97382,green,Lunes,11.616666666666667
158407,123039,green,Martes,11.475
165341,128112,green,Miércoles,12.012500000000001
176003,134548,green,Jueves,15.85
170502,130921,green,Viernes,12.658333333333333
167677,120694,green,Sábado,8.941666666666666
147914,105719,green,Domingo,8.200000000000001
144739,110302,green,Lunes,11.433333333333332
160785,123854,green,Martes,12.666666666666666
168639,130208,green,Miércoles,14.008333333333333
177597,135871,green,Jueves,15.108333333333334
175841,132851,green,Viernes,15.370833333333332
177771,128378,green,Sábado,16.158333333333335
150297,108858,green,Domingo,17.841666666666665
152679,116470,green,Lunes,19.066666666666666
164197,125594,green,Martes,17.620833333333334
167719,128402,green,Miércoles,15.704166666666667
172909,131557,green,Jueves,15.158333333333333
169926,126656,green,Viernes,17.029166666666665
177451,126744,green,Sábado,22.170833333333334
143667,103569,green,Domingo,25.041666666666668
149299,112896,green,Lunes,19.904166666666665
161256,123047,green,Martes,16.920833333333334
164233,124581,green,Miércoles,14.85
164206,124066,green,Jueves,15.0375
153754,113018,green,Viernes,19.704166666666666
147026,100917,green,Sábado,20.133333333333333
137371,93627,green,Domingo,19.495833333333334
121548,85023,green,Lunes,21.379166666666666
154407,115889,green,Martes,25.958333333333332
162834,124567,green,Miércoles,19.820833333333333
167890,128062,green,Jueves,19.6375
170218,127330,green,Viernes,20.079166666666666
178230,124601,green,Sábado,20.416666666666668
145916,104244,green,Domingo,18.662499999999998
153003,114891,green,Lunes,19.716666666666665
169857,130089,green,Martes,20.037499999999998
172434,132068,green,Miércoles,21.9375
179036,135637,green,Jueves,22.587500000000002
177091,131575,green,Viernes,20.058333333333334
174915,123885,green,Sábado,20.408333333333335
141908,101144,green,Domingo,19.1875
159646,121010,green,Lunes,22.400000000000002
168242,127943,green,Martes,22.333333333333332
175077,133244,green,Miércoles,21.854166666666668
171984,132073,green,Jueves,20.254166666666666
170874,128394,green,Viernes,24.516666666666666
167069,118297,green,Sábado,20.333333333333332
143050,100939,green,Domingo,16.979166666666668
140192,102876,green,Lunes,19.233333333333334
161922,124162,green,Martes,21.0125
164238,125845,green,Miércoles,19.304166666666667
174715,133262,green,Jueves,18.995833333333334
172123,127328,green,Viernes,20.633333333333333
173368,122273,green,Sábado,24.329166666666666
132628,95227,green,Domingo,25.587500000000002
140399,107209,green,Lunes,23.333333333333332
153611,116505,green,Martes,21.3625
157334,119827,green,Miércoles,22.575
155049,116894,green,Jueves,24.083333333333332
143162,104566,green,Viernes,25.849999999999998
131496,88653,green,Sábado,26.587500000000002
113383,76440,green,Domingo,25.65416666666667
96337,66420,green,Lunes,24.120833333333334
132109,97001,green,Martes,24.2
145078,106024,green,Miércoles,25.041666666666668
150071,110401,green,Jueves,23.84166666666667
147005,106719,green,Viernes,23.22083333333333
139033,98396,green,Sábado,25.016666666666666
123357,86891,green,Domingo,22.77916666666667
134200,99848,green,Lunes,22.724999999999998
153568,115325,green,Martes,25.041666666666668
159903,120596,green,Miércoles,26.670833333333334
161765,120919,green,Jueves,26.6875
155986,113659,green,Viernes,25.40833333333333
157527,109248,green,Sábado,24.133333333333336
132696,92545,green,Domingo,24.34583333333333
133075,99782,green,Lunes,25.170833333333334
155891,117377,green,Martes,26.545833333333334
160970,121291,green,Miércoles,28.4875
158152,119500,green,Jueves,28.741666666666664
154511,112555,green,Viernes,28.895833333333332
154191,106475,green,Sábado,29.3625
133525,92991,green,Domingo,29.77916666666667
131045,97846,green,Lunes,28.991666666666664
149882,113045,green,Martes,25.59166666666667
156192,118046,green,Miércoles,24.662499999999998
160149,119161,green,Jueves,26.6375
155362,112923,green,Viernes,26.59166666666667
152130,104486,green,Sábado,26.53333333333333
127950,89438,green,Domingo,24.8125
127783,94521,green,Lunes,23.008333333333336
147990,110386,green,Martes,25.84583333333333
150316,112980,green,Miércoles,26.712500000000002
154014,115692,green,Jueves,27.570833333333336
153451,110713,green,Viernes,28.383333333333336
157038,107494,green,Sábado,27.65833333333333
128655,88992,green,Domingo,28.354166666666668
136420,99983,green,Lunes,28.829166666666666
153708,114660,green,Martes,29.925
121119,87879,green,Miércoles,27.47083333333333
156460,117140,green,Jueves,26.179166666666664
152363,110940,green,Viernes,25.645833333333332
150704,102653,green,Sábado,22.875
126285,87535,green,Domingo,22.195833333333336
129590,94870,green,Lunes,22.883333333333336
142827,106454,green,Martes,22.4875
147186,109543,green,Miércoles,22.258333333333336
150385,111608,green,Jueves,23.820833333333336
